target,model,horizon,origin,y_true,y_pred,lo95,hi95,target_date,resid,resid_mean,resid_std,z,ewma,alert_spike,warn_spike,mean_shift,alert_drift,std_shift,alert_varbreak,severity
cpi_headline,"ARIMAX(1, 1, 1)",1,2024-01-31,131.4,131.32363031048445,130.8053023810328,131.8419582399361,2024-01-31,0.076369689515559,,,,0.076369689515559,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2024-02-29,132.1,131.66898928259334,131.15586383828224,132.18211472690444,2024-02-29,0.4310107174066502,,,,0.14729789509377725,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2024-03-31,132.2,132.29133726880394,131.76929094919805,132.81338358840983,2024-03-31,-0.09133726880395443,,,,0.09957086231423092,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2024-04-30,132.4,132.34239896132416,131.82520781017126,132.85959011247706,2024-04-30,0.05760103867584121,,,,0.09117689758655298,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2024-05-31,132.8,132.545262082476,132.03313179124672,133.05739237370528,2024-05-31,0.254737917524011,,,,0.12388910157404459,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2024-06-30,133.0,133.14336245087185,132.6316110517148,133.6551138500289,2024-06-30,-0.14336245087184807,,,,0.07043879108486607,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2024-07-31,133.1,133.1953137295734,132.68713424095696,133.70349321818983,2024-07-31,-0.09531372957340523,,,,0.03728828695321182,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2024-08-31,133.2,133.25810527467866,132.75418518359996,133.76202536575735,2024-08-31,-0.058105274678666774,,,,0.018209574626836103,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2024-09-30,133.2,133.26881459477477,132.76943041818024,133.7681987713693,2024-09-30,-0.06881459477477847,,,,0.000804740746513188,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2024-10-31,133.4,133.2879393922631,132.79286674834836,133.78301203617784,2024-10-31,0.11206060773690751,,,,0.023055914144592054,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2024-11-30,133.3,133.49840980222,133.006984122988,133.98983548145202,2024-11-30,-0.1984098022199987,,,,-0.0212372291283261,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2024-12-31,133.4,133.50988956305343,133.020168516153,133.99961060995386,2024-12-31,-0.10988956305342867,,,,-0.03896769591334662,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2025-01-31,133.6,133.62860556996984,133.14238240761895,134.11482873232072,2025-01-31,-0.02860556996984087,,,,-0.03689527072464547,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2025-02-28,134.1,133.796540603575,133.31446810450953,134.2786131026405,2025-02-28,0.30345939642498365,,,,0.031175662705280355,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2025-03-31,134.1,134.22934043415563,133.74527525864266,134.7134056096686,2025-03-31,-0.12934043415563679,,,,-0.000927556666903074,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2025-04-30,134.3,134.24433200621854,133.76323869247216,134.72542531996493,2025-04-30,0.05566799378146925,,,,0.01039155342277139,0,0,,0,,0,OK
cpi_headline,"ARIMAX(1, 1, 1)",1,2025-05-31,134.4,134.41284464230205,133.93550950617367,134.89017977843042,2025-05-31,-0.012844642302042075,,,,0.005744314277808697,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2024-01-31,121.2,121.6999000239943,,,2024-01-31,-0.4999000239943001,,,,-0.4999000239943001,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2024-02-29,121.7,121.10017996001,,,2024-02-29,0.5998200399900071,,,,-0.2799560111974387,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2024-03-31,121.5,122.1997700699838,,,2024-03-31,-0.6997700699837992,,,,-0.3639188229547108,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2024-04-30,121.4,121.30026990602728,,,2024-04-30,0.09973009397272392,,,,-0.27118903956922386,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2024-05-31,121.3,121.29990010496212,,,2024-05-31,9.989503787721787e-05,,,,-0.21693125264780366,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2024-06-30,121.9,121.20000994304186,,,2024-06-30,0.6999900569581428,,,,-0.03354699072661438,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2024-07-31,122.1,122.49979001997232,,,2024-07-31,-0.399790019972329,,,,-0.10679559657575731,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2024-08-31,122.2,122.30018993201378,,,2024-08-31,-0.10018993201377668,,,,-0.10547446366336119,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2024-09-30,121.9,122.2999900769757,,,2024-09-30,-0.39999007697569766,,,,-0.1643775863258285,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2024-10-31,121.7,121.60010997403,,,2024-10-31,0.09989002596999796,,,,-0.11152406386666322,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2024-11-30,121.4,121.49993003498342,,,2024-11-30,-0.0999300349834158,,,,-0.10920525809001375,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2024-12-31,121.8,121.10003996701376,,,2024-12-31,0.6999600329862403,,,,0.05262780012523706,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2025-01-31,122.3,122.1997800259862,,,2025-01-31,0.10021997401379679,,,,0.062146234902949,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2025-02-28,122.6,122.80003993101327,,,2025-02-28,-0.20003993101327922,,,,0.009709001719703361,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2025-03-31,122.3,122.9000700319763,,,2025-03-31,-0.6000700319763013,,,,-0.11224680501949758,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2025-04-30,122.3,122.0001600110158,,,2025-04-30,0.2998399889842034,,,,-0.02982944621875739,0,0,,0,,0,OK
cpi_transport,"ETS(add,add,None)",1,2025-05-31,122.1,122.2998500439985,,,2025-05-31,-0.19985004399850936,,,,-0.06383356577470779,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2024-01-31,2.15,2.161551382917457,2.062948791372251,2.2601539744626638,2024-01-31,-0.011551382917457165,,,,-0.011551382917457165,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2024-02-29,2.15,2.1481380388757603,2.050543818512743,2.2457322592387774,2024-02-29,0.0018619611242396417,,,,-0.008868714109117805,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2024-03-31,2.15,2.1722616124526524,2.0757135573558623,2.2688096675494425,2024-03-31,-0.022261612452652457,,,,-0.011547293777824735,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2024-04-30,2.15,2.145962514152832,2.050249216242835,2.2416758120628284,2024-04-30,0.004037485847168121,,,,-0.008430337852826165,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2024-05-31,2.15,2.159324938025571,2.0645922714550573,2.2540576045960843,2024-05-31,-0.009324938025570884,,,,-0.00860925788737511,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2024-06-30,3.1100000000000003,2.155514427122096,2.061680009334732,2.249348844909459,2024-06-30,0.9544855728779043,,,,0.18400970826568078,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2024-07-31,3.35,3.1248098209820308,3.031917862839673,3.217701779124389,2024-07-31,0.22519017901796934,,,,0.19224580241613848,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2024-08-31,3.262,3.5248122302171003,3.4224063692345488,3.627218091199652,2024-08-31,-0.2628122302171003,,,,0.10123419588949073,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2024-09-30,3.0175,3.132580145895977,3.016504578177395,3.248655713614559,2024-09-30,-0.11508014589597693,,,,0.0579713275323972,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2024-10-31,2.95,2.9128744929467847,2.7944257953182223,3.031323190575347,2024-10-31,0.03712550705321549,,,,0.053802163436560864,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2024-11-30,2.95,2.9715626305982927,2.853781416597508,3.0893438445990777,2024-11-30,-0.021562630598292554,,,,0.03872920462959018,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2024-12-31,2.95,2.9453163616868228,2.8285370954920857,3.06209562788156,2024-12-31,0.004683638313177418,,,,0.031920091366307635,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2025-01-31,3.08,2.9717849758536405,2.856062677953838,3.087507273753443,2025-01-31,0.10821502414635953,,,,0.04717907792231801,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2025-02-28,3.18,3.1710696530318803,3.053144909088096,3.2889943969756645,2025-02-28,0.008930346968119895,,,,0.03952933173147839,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2025-03-31,3.0625,3.214734271738715,3.097555260743775,3.3319132827336557,2025-03-31,-0.15223427173871507,,,,0.0011766110374397017,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2025-04-30,2.9425,2.942397390307571,2.8204292682920613,3.0643655123230804,2025-04-30,0.00010260969242903428,,,,0.0009618107684375683,0,0,,0,,0,OK
diesel,"ARIMAX(1, 1, 1)",1,2025-05-31,2.804,2.9138539538081565,2.793017865778629,3.034690041837684,2025-05-31,-0.10985395380815666,,,,-0.021201342146881276,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-01-31,2.05,2.0493617534777977,,,2024-01-31,0.0006382465222021239,,,,0.0006382465222021239,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-02-29,2.05,2.049374876158366,,,2024-02-29,0.0006251238416337124,,,,0.0006356219860884415,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-03-31,2.05,2.0493942381494903,,,2024-03-31,0.0006057618505095341,,,,0.0006296499589726601,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-04-30,2.05,2.049399955332419,,,2024-04-30,0.0006000446675806792,,,,0.0006237289006942639,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-05-31,2.05,2.0494117271905288,,,2024-05-31,0.0005882728094710465,,,,0.0006166376824496205,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-06-30,2.05,2.0494238794627715,,,2024-06-30,0.0005761205372283307,,,,0.0006085342534053625,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-07-31,2.05,2.049434024948505,,,2024-07-31,0.0005659750514950268,,,,0.0006000224130232954,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-08-31,2.05,2.049445868721356,,,2024-08-31,0.000554131278643677,,,,0.0005908441861473717,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-09-30,2.05,2.0494545156326835,,,2024-09-30,0.0005454843673162735,,,,0.000581772222381152,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-10-31,2.05,2.0494642527180558,,,2024-10-31,0.0005357472819440545,,,,0.0005725672342937326,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-11-30,2.05,2.0494736524374013,,,2024-11-30,0.0005263475625985059,,,,0.0005633232999546873,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-12-31,2.05,2.0494826977254834,,,2024-12-31,0.0005173022745164069,,,,0.0005541190948670312,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2025-01-31,2.05,2.0494914904298023,,,2025-01-31,0.0005085095701975462,,,,0.0005449971899331342,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2025-02-28,2.05,2.0494999722484053,,,2025-02-28,0.0005000277515945228,,,,0.000536003302265412,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2025-03-31,2.05,2.049508166293131,,,2025-03-31,0.0004918337068686718,,,,0.000527169383186064,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2025-04-30,2.05,2.0495160543386977,,,2025-04-30,0.0004839456613021653,,,,0.0005185246388092842,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2025-05-31,2.05,2.049523783962706,,,2025-05-31,0.00047621603729375295,,,,0.0005100629185061779,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-01-31,3.47,3.5479988474214883,3.308539585073529,3.787458109769448,2024-01-31,-0.0779988474214881,,,,-0.0779988474214881,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-02-29,3.47,3.538762526419407,3.300893947342162,3.776631105496652,2024-02-29,-0.06876252641940672,,,,-0.07615158322107184,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-03-31,3.47,3.482498108873788,3.246401378906108,3.718594838841468,2024-03-31,-0.012498108873787661,,,,-0.06342088835161501,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-04-30,3.47,3.555963047427898,3.3223265904438666,3.789599504411929,2024-04-30,-0.08596304742789762,,,,-0.06792932016687153,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-05-31,3.47,3.3451358925986634,3.112726296030151,3.577545489167176,2024-05-31,0.1248641074013368,,,,-0.029370634653229866,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-06-30,3.47,3.532362012486681,3.2999669763792494,3.7647570485941135,2024-06-30,-0.06236201248668083,,,,-0.03596891021992006,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-07-31,3.47,3.4831395254742934,3.2524256738344084,3.7138533771141775,2024-07-31,-0.013139525474293201,,,,-0.03140303327079469,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-08-31,3.46,3.3217044110130214,3.093181768065317,3.5502270539607257,2024-08-31,0.13829558898697858,,,,0.002536691180759963,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-09-30,3.2575,3.4154367917089177,3.186887456004838,3.643986127412997,2024-09-30,-0.15793679170891783,,,,-0.0295580053971756,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-10-31,3.19,3.234269675791989,3.0041719362027144,3.464367415381264,2024-10-31,-0.04426967579198893,,,,-0.03250033947613827,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-11-30,3.19,3.1744242068469117,2.9461595331499746,3.402688880543848,2024-11-30,0.015575793153088213,,,,-0.022885112950292975,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-12-31,3.2125,3.2148939588140983,2.988652469198088,3.441135448430109,2024-12-31,-0.002393958814098429,,,,-0.018786882123054065,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2025-01-31,3.37,3.306507295002433,3.082249306241636,3.5307652837632304,2025-01-31,0.0634927049975671,,,,-0.0023309646989298338,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2025-02-28,3.43,3.35067370576402,3.1277944623312157,3.573552949196825,2025-02-28,0.07932629423598003,,,,0.014000487088052141,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2025-03-31,3.305,3.4430047459453315,3.221136797677572,3.664872694213091,2025-03-31,-0.1380047459453313,,,,-0.016400559518624548,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2025-04-30,3.2425,3.189893528152246,2.967216289541424,3.4125707667630683,2025-04-30,0.05260647184775413,,,,-0.0025991532453488106,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2025-05-31,3.1100000000000003,3.229119949681176,3.0078999547756613,3.450339944586691,2025-05-31,-0.1191199496811759,,,,-0.02590331253251423,0,0,,0,,0,OK
