target,model,target_date,roll_MAE,roll_RMSE,roll_bias,roll_cov95
cpi_headline,"ARIMAX(1, 1, 1)",2024-01-31,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-02-29,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-03-31,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-04-30,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-05-31,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-06-30,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-07-31,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-08-31,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-09-30,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-10-31,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-11-30,,,,
cpi_headline,"ARIMAX(1, 1, 1)",2024-12-31,0.1414177212362541,0.1755712740374885,0.013878940573574047,1.0
cpi_headline,"ARIMAX(1, 1, 1)",2025-01-31,0.1374373779407776,0.1743772768937033,0.005131002283124057,1.0
cpi_headline,"ARIMAX(1, 1, 1)",2025-02-28,0.12680810119230537,0.15033478836738004,-0.005498274465348156,1.0
cpi_headline,"ARIMAX(1, 1, 1)",2025-03-31,0.12997503163827892,0.15264147381925786,-0.008665204911321686,1.0
cpi_headline,"ARIMAX(1, 1, 1)",2025-04-30,0.12981394456374792,0.1525816940286143,-0.008826291985852682,1.0
cpi_headline,"ARIMAX(1, 1, 1)",2025-05-31,0.10965617162858383,0.1337434292601253,-0.03112483863802377,1.0
cpi_transport,"ETS(add,add,None)",2024-01-31,,,,
cpi_transport,"ETS(add,add,None)",2024-02-29,,,,
cpi_transport,"ETS(add,add,None)",2024-03-31,,,,
cpi_transport,"ETS(add,add,None)",2024-04-30,,,,
cpi_transport,"ETS(add,add,None)",2024-05-31,,,,
cpi_transport,"ETS(add,add,None)",2024-06-30,,,,
cpi_transport,"ETS(add,add,None)",2024-07-31,,,,
cpi_transport,"ETS(add,add,None)",2024-08-31,,,,
cpi_transport,"ETS(add,add,None)",2024-09-30,,,,
cpi_transport,"ETS(add,add,None)",2024-10-31,,,,
cpi_transport,"ETS(add,add,None)",2024-11-30,,,,
cpi_transport,"ETS(add,add,None)",2024-12-31,0.366588358569859,0.45083853982097766,-6.667750694096715e-06,
cpi_transport,"ETS(add,add,None)",2025-01-31,0.33328168773815037,0.4280974068535453,0.05000333208331398,
cpi_transport,"ETS(add,add,None)",2025-02-28,0.29996667865675636,0.3957525079603563,-0.016651665500293216,
cpi_transport,"ETS(add,add,None)",2025-03-31,0.29165834215613157,0.381864555297845,-0.008343328999668387,
cpi_transport,"ETS(add,add,None)",2025-04-30,0.3083341667404215,0.39049161220868855,0.008332495584621569,
cpi_transport,"ETS(add,add,None)",2025-05-31,0.32498001248714087,0.39473033205925084,-0.008329999335077313,
diesel,"ARIMAX(1, 1, 1)",2024-01-31,,,,
diesel,"ARIMAX(1, 1, 1)",2024-02-29,,,,
diesel,"ARIMAX(1, 1, 1)",2024-03-31,,,,
diesel,"ARIMAX(1, 1, 1)",2024-04-30,,,,
diesel,"ARIMAX(1, 1, 1)",2024-05-31,,,,
diesel,"ARIMAX(1, 1, 1)",2024-06-30,,,,
diesel,"ARIMAX(1, 1, 1)",2024-07-31,,,,
diesel,"ARIMAX(1, 1, 1)",2024-08-31,,,,
diesel,"ARIMAX(1, 1, 1)",2024-09-30,,,,
diesel,"ARIMAX(1, 1, 1)",2024-10-31,,,,
diesel,"ARIMAX(1, 1, 1)",2024-11-30,,,,
diesel,"ARIMAX(1, 1, 1)",2024-12-31,0.1391647736950604,0.2953342678455112,0.06539928367721866,0.75
diesel,"ARIMAX(1, 1, 1)",2025-01-31,0.14722007713080223,0.29696310295077366,0.07537981759920338,0.75
diesel,"ARIMAX(1, 1, 1)",2025-02-28,0.14780910928445892,0.29697380613554175,0.07596884975286007,0.75
diesel,"ARIMAX(1, 1, 1)",2025-03-31,0.15864016422496416,0.30013899453286486,0.06513779481235486,0.6666666666666666
diesel,"ARIMAX(1, 1, 1)",2025-04-30,0.1583122578787359,0.300136732966156,0.0648098884661266,0.6666666666666666
diesel,"ARIMAX(1, 1, 1)",2025-05-31,0.16668967586061803,0.30179541061306137,0.056432470484244455,0.6666666666666666
ron95,"ETS(add,add,None)",2024-01-31,,,,
ron95,"ETS(add,add,None)",2024-02-29,,,,
ron95,"ETS(add,add,None)",2024-03-31,,,,
ron95,"ETS(add,add,None)",2024-04-30,,,,
ron95,"ETS(add,add,None)",2024-05-31,,,,
ron95,"ETS(add,add,None)",2024-06-30,,,,
ron95,"ETS(add,add,None)",2024-07-31,,,,
ron95,"ETS(add,add,None)",2024-08-31,,,,
ron95,"ETS(add,add,None)",2024-09-30,,,,
ron95,"ETS(add,add,None)",2024-10-31,,,,
ron95,"ETS(add,add,None)",2024-11-30,,,,
ron95,"ETS(add,add,None)",2024-12-31,0.0005732131704282809,0.000574436696014898,0.0005732131704282809,
ron95,"ETS(add,add,None)",2025-01-31,0.0005624017577612328,0.0005635418923071538,0.0005624017577612328,
ron95,"ETS(add,add,None)",2025-02-28,0.0005519770835913004,0.0005530371828674299,0.0005519770835913004,
ron95,"ETS(add,add,None)",2025-03-31,0.0005424830716212284,0.0005435343045971401,0.0005424830716212284,
ron95,"ETS(add,add,None)",2025-04-30,0.0005328081544313523,0.0005337996099730014,0.0005328081544313523,
ron95,"ETS(add,add,None)",2025-05-31,0.0005234700900832445,0.0005244061005159987,0.0005234700900832445,
ron97,"ARIMAX(1, 1, 1)",2024-01-31,,,,
ron97,"ARIMAX(1, 1, 1)",2024-02-29,,,,
ron97,"ARIMAX(1, 1, 1)",2024-03-31,,,,
ron97,"ARIMAX(1, 1, 1)",2024-04-30,,,,
ron97,"ARIMAX(1, 1, 1)",2024-05-31,,,,
ron97,"ARIMAX(1, 1, 1)",2024-06-30,,,,
ron97,"ARIMAX(1, 1, 1)",2024-07-31,,,,
ron97,"ARIMAX(1, 1, 1)",2024-08-31,,,,
ron97,"ARIMAX(1, 1, 1)",2024-09-30,,,,
ron97,"ARIMAX(1, 1, 1)",2024-10-31,,,,
ron97,"ARIMAX(1, 1, 1)",2024-11-30,,,,
ron97,"ARIMAX(1, 1, 1)",2024-12-31,0.06700499866333025,0.08380955952327472,-0.02054908373976298,1.0
ron97,"ARIMAX(1, 1, 1)",2025-01-31,0.06579615346133683,0.08278285379969062,-0.008758121038175045,1.0
ron97,"ARIMAX(1, 1, 1)",2025-02-28,0.06667646744605127,0.08356653363053752,0.0035826140164405182,1.0
ron97,"ARIMAX(1, 1, 1)",2025-03-31,0.07713535386867991,0.09250652846074318,-0.006876272406188118,1.0
ron97,"ARIMAX(1, 1, 1)",2025-04-30,0.07435563923700128,0.09040063101341211,0.004671187533449528,1.0
ron97,"ARIMAX(1, 1, 1)",2025-05-31,0.07387695942698787,0.08975234729817672,-0.01566081722342653,1.0
